gene,category,n,mean,sd,sem,ci95_l,ci95_u,min,max,q25,q75,iqr
ASPM,host,14,8.42529274137283,10.7147586603772,2.86363970636431,2.81266205219993,14.0379234305457,0,42.2203038948947,3.11742148503575,10.6530322125698,7.53561072753406
ASPM,ht,8,115.58240353517,74.1162771584933,26.2040610875361,64.2233875549117,166.941419515428,55.8861132207253,292.388466702941,84.8179173042778,108.823497570669,24.0055802663907
C4BPB,tumour,14,0.114805009909208,0.232857774046522,0.0622338578806363,-0.00717111015582334,0.236781129974239,0,0.63880002003617,0,0,0
C4BPB,host,5,0.340778130092871,0.499155847007205,0.223229281054919,-0.0967432210695394,0.778299481255282,0,1.10259770781009,0,0.601292942654267,0.601292942654267
C4BPB,ht,7,0,0,0,0,0,0,0,0,0,0
C7H1orf116,tumour,14,1.76303481955689,2.26768277928287,0.606063715854559,0.575171764145441,2.95089787496835,0,8.86614169476404,0.51081224792841,2.46994604227573,1.95913379434732
C7H1orf116,host,12,31.5453370091268,40.8634211572828,11.7962536025831,8.42510479556294,54.6655692226906,0,130.796094334258,2.09240439705922,52.6587859084359,50.5663815113767
C7H1orf116,ht,7,0,0,0,0,0,0,0,0,0,0
C7H1orf53,tumour,14,17.2765399045162,12.5218609156902,3.34660809938202,10.7173085593574,23.835771249675,0,47.2610668162081,9.83603184094468,21.9660052341443,12.1299733931996
C7H1orf53,host,5,10.606777797174,13.5783293807557,6.07241350325046,-1.29493396843161,22.5084895627796,0,34.2697190395435,3.92503352171975,7.62362111275544,3.69858759103569
C7H1orf53,ht,1,6.08310730918726,,,,,6.08310730918726,6.08310730918726,6.08310730918726,6.08310730918726,0
C7H1orf74,tumour,14,77.2645255740397,19.0847589613271,5.10061638160354,67.2675011671418,87.2615499809377,45.611026379363,104.269543821214,64.5258049941479,94.4763564785935,29.9505514844456
C7H1orf74,host,8,19.8177144437631,9.8376504143898,3.47813465947884,13.0006957778041,26.6347331097221,6.44421699401625,37.6966909434979,14.5726731429291,23.1523940591723,8.57972091624311
